code,name,最新价,昨收,涨跌幅%,成交量,成交额
000735,罗 牛 山,5.86,5.74,2.09,67931618.0,395176509.27
000736,中交发展,4.68,4.51,3.77,25866989.0,120254650.04
000737,北方铜业,15.37,15.31,0.39,104831009.0,1596296849.38
000738,航发控制,18.68,18.72,-0.21,16943404.0,318842961.94
000739,普洛药业,21.33,21.54,-0.97,14413863.0,312518740.34
000750,国海证券,3.85,3.87,-0.52,48271765.0,185692594.8
000751,锌业股份,5.3,5.31,-0.19,93610379.0,490677929.22
000752,*ST西发,8.71,8.82,-1.25,1355900.0,11816485.0
000753,漳州发展,4.94,4.92,0.41,17153700.0,84488458.0
000755,山西高速,4.83,4.76,1.47,4855450.0,23399355.56
000756,新华制药,13.43,13.45,-0.15,6044904.0,81031890.76
000757,浩物股份,4.52,4.56,-0.88,6224400.0,28196952.0
000758,中色股份,6.52,6.32,3.16,66437101.0,428957732.82
000759,中百集团,6.3,6.1,3.28,64651800.0,401608941.0
000761,本钢板材,2.41,2.39,0.84,19640339.0,47255381.42
000762,西藏矿业,23.63,23.0,2.74,19272880.0,450972459.41
000766,通化金马,16.61,16.38,1.4,9219775.0,152170199.23
000767,晋控电力,3.45,3.47,-0.58,60924677.0,210034473.95
000768,中航西飞,21.72,21.2,2.45,38247253.0,829139612.34
000776,广发证券,21.43,21.59,-0.74,42294368.0,906801695.5
000777,中核科技,17.23,17.23,0.0,4620717.0,79617794.03
000778,新兴铸管,3.71,3.65,1.64,53816709.0,198379937.91
000779,甘咨询,9.63,9.62,0.1,56908208.0,549803697.61
000782,恒申新材,8.0,7.99,0.13,25005510.0,200699603.4
000783,长江证券,9.21,9.32,-1.18,120176533.0,1112671372.26
000785,居然智家,2.29,2.25,1.78,53385500.0,121565059.03
000786,北新建材,17.7,17.68,0.11,17629504.0,311884862.25
000788,北大医药,5.78,5.76,0.35,19596600.0,112934799.0
000789,万年青,4.23,4.18,1.2,4663435.0,19655998.41
000790,华神科技,4.21,4.22,-0.24,12952974.0,54446176.19
000791,甘肃能源,7.24,7.31,-0.96,14287732.0,103526995.0
000792,盐湖股份,28.38,28.21,0.6,63836089.0,1800291537.51
000793,ST华闻,2.13,2.14,-0.47,12299900.0,26168668.0
000795,英洛华,8.76,8.79,-0.34,15167834.0,132951026.92
000796,凯撒旅业,4.32,4.25,1.65,97487148.0,417685767.63
000797,中国武夷,2.51,2.45,2.45,31455785.0,78313121.43
000798,中水渔业,10.12,9.2,10.0,31978863.0,312754415.68
000799,酒鬼酒,39.21,39.09,0.31,5442057.0,213648732.06
000800,一汽解放,6.22,6.23,-0.16,12943526.0,79977777.18
000801,四川九洲,11.78,11.82,-0.34,8773675.0,103575831.35
000802,北京文化,3.97,3.95,0.51,91024430.0,363964793.9
000803,山高环能,7.53,7.4,1.76,11786096.0,89037501.88
000807,云铝股份,27.23,26.69,2.02,90738288.0,2456899409.04
000809,和展能源,3.43,3.43,0.0,8940700.0,30764187.0
000810,创维数字,9.73,9.74,-0.1,15768276.0,154170370.84
000811,冰轮环境,40.1,42.94,-6.61,45989592.0,1892631463.83
000812,陕西金叶,3.68,3.62,1.66,14061550.0,51534076.0
000813,德展健康,3.47,3.39,2.36,33740101.0,116016394.45
000815,美利云,16.32,16.63,-1.86,66010223.0,1098044800.7
000816,智慧农业,3.06,3.04,0.66,112494809.0,339055609.27
000818,航锦科技,12.41,12.36,0.4,15864089.0,197002881.33
000819,岳阳兴长,12.33,12.15,1.48,4524148.0,55697130.26
000820,神雾节能,3.63,3.62,0.28,14941282.0,54136519.84
000821,ST京机,7.33,7.31,0.27,5196500.0,38050403.0
000822,山东海化,4.55,4.43,2.71,15935919.0,71677882.22
000823,超声电子,15.37,15.7,-2.1,48370095.0,755423839.49
000825,太钢不锈,3.6,3.58,0.56,38768399.0,139090512.44
000826,*ST启环,1.93,1.91,1.05,15125200.0,28818393.0
000828,东莞控股,10.22,10.33,-1.06,8380074.0,85614390.69
000829,天音控股,8.76,8.71,0.57,22269805.0,194905009.05
000830,鲁西化工,12.94,12.46,3.85,56685327.0,725948776.09
000831,中国稀土,60.18,60.81,-1.04,26465343.0,1604010066.79
000833,粤桂股份,21.5,21.24,1.22,20554097.0,438595367.9
000837,秦川机床,10.12,10.14,-0.2,11719529.0,118623755.32
000838,*ST发展,2.98,2.95,1.02,24632800.0,72870999.0
000839,国安股份,2.81,2.81,0.0,87346100.0,249515727.0
000848,承德露露,8.67,8.5,2.0,14176158.0,121595855.92
000850,华茂股份,4.43,4.45,-0.45,9214690.0,40685334.9
000852,石化机械,5.49,5.44,0.92,15250404.0,83334910.55
000856,冀东装备,8.91,8.6,3.6,8354200.0,73415450.0
000858,五 粮 液,71.51,71.12,0.55,23036495.0,1643217892.52
000859,国风新材,9.05,8.89,1.8,56067883.0,510591404.35
000860,顺鑫农业,10.64,10.5,1.33,6394384.0,67604779.0
000862,银星能源,5.29,5.27,0.38,10537700.0,55487945.0
000863,三湘印象,4.29,4.32,-0.69,16556024.0,71358917.44
000868,安凯客车,3.58,3.55,0.85,9097678.0,32570284.16
000869,张 裕Ａ,16.13,16.12,0.06,1295800.0,20899050.0
000875,电投绿能,4.96,4.9,1.22,26905300.0,132878336.0
000876,新 希 望,7.17,7.07,1.41,41257742.0,293896298.04
000877,天山股份,3.82,3.76,1.6,15555382.0,59132427.56
000878,云南铜业,17.85,17.15,4.08,108206323.0,1921085182.34
000880,潍柴重机,23.64,23.48,0.68,11790402.0,281793666.38
000881,中广核技,6.65,6.57,1.22,7903003.0,52317271.9
000882,华联股份,1.52,1.49,2.01,51463001.0,77474098.48
000883,湖北能源,4.58,4.61,-0.65,17316692.0,79012905.86
000885,城发环境,12.27,12.3,-0.24,2972708.0,36423370.03
000886,海南高速,4.86,4.75,2.32,24868400.0,120704726.0
000887,中鼎股份,20.95,21.04,-0.43,35370124.0,754580604.74
000888,峨眉山Ａ,10.32,9.94,3.82,17934746.0,182503254.0
000889,中嘉博创,4.02,4.04,-0.5,32984116.0,132574173.36
000890,法尔胜,8.6,8.78,-2.05,125999971.0,1125328274.07
000892,欢瑞世纪,3.91,3.79,3.17,66073200.0,257764501.0
000893,亚钾国际,48.8,48.28,1.08,17857397.0,859322465.13
000895,双汇发展,24.87,24.94,-0.28,6875045.0,170613231.86
000897,津滨发展,1.86,1.82,2.2,30753379.0,56674140.58
000898,鞍钢股份,2.11,2.06,2.43,57891141.0,121078362.15
000899,赣能股份,9.65,9.68,-0.31,5735703.0,55364631.98
000900,现代投资,3.71,3.74,-0.8,17506111.0,64513390.42
000901,航天科技,13.8,13.85,-0.36,8581410.0,118641148.9
000902,新洋丰,14.59,14.39,1.39,25582643.0,370178487.96
000903,ST云动,1.89,1.9,-0.53,14351098.0,27107059.22
000905,厦门港务,8.97,8.88,1.01,13181768.0,117805368.35
000906,浙商中拓,5.78,5.69,1.58,15825800.0,91301790.0
000908,石药景峰,6.52,6.65,-1.95,13203192.0,86142569.76
000909,*ST数源,4.49,4.19,7.16,6601455.0,28821932.85
000910,大亚圣象,5.51,5.42,1.66,5552800.0,30460268.0
000911,*ST广糖,5.34,5.22,2.3,11592446.0,62060478.8
000912,泸天化,4.36,3.96,10.1,112857060.0,474238106.87
000913,钱江摩托,11.52,11.58,-0.52,6283201.0,72502891.61
000915,华特达因,25.04,24.87,0.68,2470557.0,61664733.57
000917,电广传媒,7.05,7.12,-0.98,17359800.0,122549448.0
000919,金陵药业,6.85,6.82,0.44,14421890.0,98870440.3
000920,沃顿科技,11.59,11.53,0.52,6347300.0,73564217.0
000921,海信家电,26.51,26.13,1.45,6938496.0,182707846.88
000922,佳电股份,12.18,12.1,0.66,12748845.0,154501658.42
000923,河钢资源,16.7,16.17,3.28,19973932.0,330532781.56
000925,众合科技,9.38,8.53,9.96,83196709.0,740286666.65
000926,福星股份,2.3,2.21,4.07,55226428.0,126242683.36
000927,中国铁物,2.52,2.5,0.8,52205671.0,130560275.19
000928,中钢国际,5.31,5.16,2.91,30123751.0,159263786.26
000929,兰州黄河,9.24,9.02,2.44,2228900.0,20459225.0
000930,中粮科技,5.14,5.08,1.18,30626850.0,155867247.3
000931,中 关 村,5.28,5.7,-7.37,133126449.0,708824829.97
000932,华菱钢铁,3.77,3.72,1.34,96282520.0,361228272.05
000933,神火股份,27.59,26.92,2.49,50315631.0,1373505392.93
000935,四川双马,23.39,23.16,0.99,3487851.0,81530094.32
000936,华西股份,5.71,5.74,-0.52,28475621.0,162635062.67
000937,冀中能源,5.27,5.14,2.53,56317898.0,294602111.55
000938,紫光股份,35.89,36.43,-1.48,164113404.0,6015098244.51
000948,南天信息,14.31,14.35,-0.28,14439883.0,210105096.53
000949,新乡化纤,7.38,7.23,2.07,55979758.0,409427605.26
000950,重药控股,5.58,5.54,0.72,26336626.0,146511074.91
000951,中国重汽,21.88,22.39,-2.28,41144705.0,904986023.33
000952,广济药业,6.6,6.65,-0.75,5040004.0,33356360.36
000953,中哲精化,6.28,6.08,3.29,9260301.0,57571880.06
000955,欣龙控股,4.29,4.28,0.23,6719442.0,28874093.76
000957,中通客车,10.22,10.28,-0.58,9305694.0,95469134.5
000958,电投产融,5.31,5.34,-0.56,10177800.0,54015679.0
000959,首钢股份,3.71,3.58,3.63,63977856.0,236820545.75
000960,锡业股份,36.27,36.12,0.42,35112656.0,1272343535.95
000962,东方钽业,57.72,57.55,0.3,39512441.0,2303486658.27
000963,华东医药,27.66,27.68,-0.07,10818231.0,299041244.13
000965,天保基建,3.29,3.21,2.49,20769852.0,67920620.08
000966,长源电力,4.06,4.04,0.5,27406400.0,110789196.0
000967,盈峰环境,8.33,8.63,-3.48,88226079.0,743434475.97
000968,蓝焰控股,7.39,7.24,2.07,26845302.0,197900922.01
000969,安泰科技,17.31,17.15,0.93,20655867.0,357756574.19
000970,中科三环,12.18,12.15,0.25,28723863.0,349568594.56
000972,中基健康,3.83,3.72,2.96,20242699.0,77298144.28
000973,佛塑科技,13.52,13.79,-1.96,39369950.0,536638193.2
000975,山金国际,27.31,27.4,-0.33,42489842.0,1151778448.41
000977,浪潮信息,77.44,78.27,-1.06,51185716.0,4007312550.91
000978,桂林旅游,6.16,6.12,0.65,7045560.0,43453651.6
000980,众泰汽车,1.7,1.69,0.59,98547262.0,166745138.78
000981,山子高科,2.7,2.73,-1.1,149412478.0,403513548.87
000983,山西焦煤,7.42,7.54,-1.59,68854014.0,510487594.91
000985,大庆华科,16.72,16.52,1.21,5582250.0,95305265.0
000987,越秀资本,7.77,7.78,-0.13,25938416.0,200728709.97
000988,华工科技,102.93,104.9,-1.88,45689477.0,4808850912.23
000989,九芝堂,9.14,9.14,0.0,19623757.0,178781663.85
000990,诚志股份,6.68,6.49,2.93,52447744.0,347607483.28
000993,闽东电力,9.92,9.91,0.1,3650038.0,36166785.68
000995,皇台酒业,11.21,11.02,1.72,6417600.0,71465377.0
000997,新 大 陆,20.51,20.88,-1.77,34740087.0,718445874.18
000998,隆平高科,9.25,9.1,1.65,67070036.0,620376382.98
000999,华润三九,24.39,24.64,-1.01,6226884.0,152041020.93
001201,东瑞股份,12.37,12.2,1.39,2846904.0,34918922.72
001202,炬申股份,14.36,13.83,3.83,5162180.0,73151278.29
001203,大中矿业,28.28,27.58,2.54,19284808.0,541137156.54
