代码,名称,策略,分类,最新价,J值,短期趋势线,多空线,趋势强度%,放量倍数,放量距今,近20日回撤%,距年高跌幅%,日均成交额亿,止损位,目标位,盈亏比,score
688520,神州细胞,碗口反弹,靠近多空线,36.43,-0.8,37.56,37.32,0.64,3.17,6,16.3,59.1,1.53,34.48,43.55,3.65,72.0
603369,今世缘,碗口反弹,回落碗中,28.47,17.9,28.48,27.58,3.26,3.39,12,8.1,53.4,5.2,27.02,30.99,1.74,71.9
000026,飞亚达,碗口反弹,回落碗中,20.07,9.8,20.12,19.48,3.3,2.25,21,15.0,27.8,2.91,18.86,23.61,2.93,71.9
600667,太极实业,碗口反弹,靠近多空线,19.53,-2.2,20.73,19.58,5.88,2.29,23,21.5,39.2,65.69,17.92,32.1,7.81,70.8
001358,兴欣新材,碗口反弹,回落碗中,25.48,5.2,25.66,25.39,1.08,2.25,9,11.2,39.6,1.09,24.23,28.85,2.7,70.6
603658,安图生物,碗口反弹,回落碗中,33.07,13.0,33.5,32.86,1.96,3.18,10,6.8,50.2,1.52,32.0,35.49,2.26,69.9
300347,泰格医药,碗口反弹,靠近多空线,49.85,5.7,52.56,50.57,3.94,2.94,6,14.1,39.8,12.21,46.6,58.0,2.51,69.9
688011,新光光电,碗口反弹,靠近短期趋势线,79.0,19.7,78.37,72.39,8.25,3.38,19,12.0,12.0,1.93,70.95,89.82,1.34,69.0
301060,兰卫医学,碗口反弹,靠近短期趋势线,11.16,-2.6,11.09,10.22,8.49,2.69,11,20.1,24.4,3.54,10.02,13.96,2.46,69.0
688278,特宝生物,碗口反弹,靠近多空线,58.4,-9.3,60.11,59.32,1.33,2.42,7,12.6,37.6,3.4,55.75,66.8,3.17,69.0
002262,恩华药业,碗口反弹,回落碗中,22.04,19.9,22.11,21.54,2.61,2.69,8,5.7,26.5,2.73,21.11,23.38,1.44,68.9
300985,致远新能,碗口反弹,靠近短期趋势线,37.71,11.6,37.42,35.09,6.62,3.36,10,13.6,35.0,2.03,34.39,58.0,6.11,68.9
301089,拓新药业,碗口反弹,靠近多空线,23.6,15.5,24.39,24.12,1.15,5.89,7,15.4,50.9,1.06,22.37,27.88,3.48,68.7
002727,一心堂,碗口反弹,靠近多空线,11.25,8.2,11.7,11.57,1.11,3.03,13,12.9,51.6,1.61,10.84,12.91,4.05,67.7
688289,圣湘生物,碗口反弹,靠近多空线,15.66,19.9,15.79,15.75,0.23,5.07,6,14.5,40.6,1.48,14.89,18.31,3.44,67.4
603699,纽威股份,碗口反弹,靠近多空线,50.7,-9.5,52.01,51.21,1.57,2.02,22,10.2,24.5,3.48,48.43,58.91,3.62,67.3
688077,大地熊,碗口反弹,靠近短期趋势线,28.3,0.3,27.76,27.35,1.5,3.67,8,14.4,37.7,1.06,26.81,33.48,3.48,67.2
300149,睿智医药,碗口反弹,靠近多空线,9.68,3.5,10.32,9.92,4.01,2.63,6,21.2,36.6,5.06,8.9,12.29,3.35,67.0
301129,瑞纳智能,碗口反弹,靠近多空线,23.41,20.0,23.14,22.77,1.62,3.22,8,11.5,33.1,1.18,21.99,26.49,2.17,66.4
603368,柳药集团,碗口反弹,靠近多空线,15.92,12.0,16.06,15.99,0.44,4.77,11,7.0,33.9,1.02,15.55,17.11,3.22,65.7
300452,山河药辅,碗口反弹,靠近多空线,12.93,13.4,12.88,12.78,0.81,3.57,7,10.5,24.6,1.01,12.44,14.45,3.1,65.2
300017,网宿科技,碗口反弹,回落碗中,15.31,13.4,15.36,15.15,1.39,2.46,10,12.9,36.5,34.4,14.35,17.58,2.36,65.1
688669,聚石化学,碗口反弹,靠近短期趋势线,74.8,16.6,73.39,67.97,7.98,2.16,17,8.6,36.9,3.08,66.61,118.5,5.34,65.0
