排名,代码,名称,策略,类型,最新价,今日涨幅%,前低支撑,破底最低,破底深度%,收回幅度%,站稳天数,距60日高跌幅%,距年高跌幅%,历史分位%,量比vs5日均,MA5,MA20,止损位,目标位,盈亏比,score,命中策略,命中数,最强分,扫描总数,有效K线数,盈亏比不足,分类,J值,短期趋势线,多空线,趋势强度%,放量倍数,放量距今,近20日回撤%,日均成交额亿
43,301586,佳力奇,破底翻,破底翻,29.8,-5.0,30.2,28.27,6.4,-1.3,23.0,20.3,62.3,1.9,2.82,30.84,31.43,28.71,37.4,6.97,77.0,破底翻,1,77.0,4919,4583,False,,,,,,,,,
44,301199,迈赫股份,破底翻,破底翻,17.72,0.74,17.71,16.5,6.8,0.1,21.0,20.5,55.6,4.0,3.12,17.62,18.18,16.96,22.28,6.0,77.0,破底翻,1,77.0,4919,4583,False,,,,,,,,,
45,688680,海优新材,破底翻,破底翻,35.4,6.15,33.8,31.94,5.5,4.7,25.0,23.7,52.8,27.3,3.72,33.87,34.75,32.79,46.38,4.21,77.0,破底翻,1,77.0,4919,4583,False,,,,,,,,,
46,603499,翔港科技,破底翻,破底翻,12.23,1.75,11.5,10.4,9.6,6.3,20.0,41.1,68.5,6.3,1.11,11.91,12.19,11.16,20.76,7.97,77.0,破底翻,1,77.0,4919,4583,False,,,,,,,,,
47,002605,姚记科技,破底翻,破底翻,17.16,-1.15,17.56,16.59,5.5,-2.3,23.0,18.1,54.4,1.5,2.17,17.37,17.99,16.66,20.95,7.58,77.0,破底翻,1,77.0,4919,4583,False,,,,,,,,,
48,301268,铭利达,破底翻,破底翻,12.89,-3.88,12.73,11.88,6.7,1.3,23.0,26.9,52.2,1.9,2.21,13.29,13.36,12.35,17.64,8.8,77.0,破底翻,1,77.0,4919,4583,False,,,,,,,,,
49,688399,硕世生物,破底翻,破底翻,28.37,0.53,27.5,23.79,13.5,3.2,19.0,47.3,73.0,2.3,1.06,28.24,28.74,26.68,53.87,15.09,77.0,破底翻,1,77.0,4919,4583,False,,,,,,,,,
50,600933,爱柯迪,破底翻,破底翻,13.42,-3.31,13.57,12.75,6.0,-1.1,23.0,16.1,45.2,8.7,2.21,13.78,13.82,13.04,16.0,6.79,77.0,破底翻,1,77.0,4919,4583,False,,,,,,,,,
51,301662,宏工科技,破底翻,破底翻,79.07,6.28,68.73,60.86,11.5,15.0,25.0,28.8,62.0,20.1,1.7,74.3,71.26,66.67,111.0,2.58,77.0,破底翻,1,77.0,4919,4583,False,,,,,,,,,
52,300009,安科生物,碗口反弹,,8.52,,,,,,,,34.8,,,,,8.03,10.15,3.33,76.7,碗口反弹,1,76.7,4919,4583,False,靠近多空线,6.8,8.72,8.56,1.82,7.72,6.0,16.1,5.08
53,300988,津荣天宇,破底翻,破底翻,14.88,-0.2,14.36,13.22,7.9,3.6,20.0,18.1,53.6,5.6,1.0,14.71,14.77,13.93,18.17,3.46,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
54,300793,佳禾智能,破底翻,破底翻,11.37,0.35,10.88,10.06,7.5,4.5,24.0,16.3,52.0,7.4,1.18,11.17,11.16,10.55,13.59,2.71,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
55,605166,聚合顺,破底翻,破底翻,8.46,0.95,8.09,7.64,5.6,4.6,25.0,23.8,40.3,5.6,1.22,8.34,8.51,7.85,11.1,4.33,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
56,600630,龙头股份,破底翻,破底翻,6.96,1.46,6.4,5.98,6.6,8.7,24.0,34.9,45.8,6.1,1.17,6.82,6.71,6.21,10.69,4.97,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
57,603179,新泉股份,破底翻,破底翻,39.46,-0.88,37.88,35.05,7.5,4.2,5.0,29.4,63.6,8.5,0.73,38.48,38.92,36.74,55.93,6.06,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
58,603878,武进不锈,破底翻,破底翻,5.15,1.38,4.71,4.33,8.1,9.3,25.0,21.6,59.2,9.5,1.06,5.1,5.03,4.57,6.57,2.45,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
59,301636,泽润新能,破底翻,破底翻,40.33,0.27,37.63,34.96,7.1,7.2,25.0,19.3,64.6,8.9,1.17,40.13,40.39,36.5,50.0,2.52,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
60,688567,孚能科技,破底翻,破底翻,10.04,3.29,9.72,8.91,8.3,3.3,25.0,18.3,55.6,15.3,1.56,9.73,9.97,9.43,12.29,3.69,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
61,301180,万祥科技,破底翻,破底翻,11.95,0.84,11.31,10.15,10.3,5.7,20.0,21.3,49.0,7.4,0.88,11.91,11.69,10.97,15.18,3.3,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
62,301383,天键股份,破底翻,破底翻,23.79,-1.41,21.7,19.36,10.8,9.6,20.0,20.4,64.3,6.1,0.72,23.44,22.54,21.05,29.89,2.23,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
63,605555,德昌股份,破底翻,破底翻,12.52,-0.63,11.43,10.55,7.7,9.5,23.0,24.6,59.1,6.3,0.59,12.38,12.13,11.09,16.6,2.85,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
64,300956,英力股份,破底翻,破底翻,11.37,1.97,10.73,9.33,13.0,6.0,20.0,26.6,62.1,9.4,1.05,11.19,11.12,10.41,15.5,4.3,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
65,300698,万马科技,破底翻,破底翻,26.27,-1.54,24.75,22.56,8.8,6.1,21.0,26.4,54.5,6.5,0.6,26.18,25.8,24.01,35.71,4.18,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
66,000785,居然智家,破底翻,破底翻,2.29,1.78,2.21,1.98,10.4,3.6,25.0,15.8,59.1,8.4,1.05,2.27,2.26,2.14,2.72,2.87,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
67,301229,纽泰格,破底翻,破底翻,12.31,0.9,11.77,10.65,9.5,4.6,20.0,17.5,65.3,5.8,1.01,12.26,12.17,11.42,14.92,2.93,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
68,300351,永贵电器,破底翻,破底翻,14.09,-1.19,12.81,11.77,8.1,10.0,28.0,31.4,50.4,6.8,0.76,14.04,14.12,12.43,20.53,3.88,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
69,002395,双象股份,破底翻,破底翻,12.47,-0.64,11.92,11.24,5.7,4.6,25.0,25.7,41.2,7.1,0.99,12.44,12.38,11.56,16.78,4.74,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
70,002449,国星光电,破底翻,破底翻,6.63,0.15,6.24,5.9,5.4,6.2,24.0,24.3,54.1,8.9,0.47,6.6,6.5,6.05,8.76,3.67,76.0,破底翻,1,76.0,4919,4583,False,,,,,,,,,
71,300278,华昌达,破底翻,破底翻,3.76,-2.59,3.64,3.35,8.0,3.3,23.0,22.5,57.6,28.2,1.98,3.79,3.86,3.53,4.85,4.74,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
72,300337,银邦股份,破底翻,破底翻,9.83,-1.4,9.4,8.76,6.8,4.6,23.0,25.2,54.9,28.9,1.54,9.85,9.97,9.12,13.15,4.68,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
73,301042,安联锐视,破底翻,破底翻,32.48,-2.17,26.64,25.24,5.3,21.9,21.0,71.4,71.4,19.4,1.22,32.7,32.45,25.84,113.72,12.23,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
74,300624,万兴科技,破底翻,破底翻,47.22,0.7,46.77,44.38,5.1,1.0,25.0,21.3,61.9,8.9,1.91,47.02,52.65,44.62,60.0,4.92,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
75,300781,因赛集团,破底翻,破底翻,26.14,0.46,25.5,22.89,10.2,2.5,23.0,16.2,72.2,4.4,1.51,26.15,27.86,24.74,31.21,3.62,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
76,300364,中文在线,破底翻,破底翻,22.73,0.66,21.51,18.51,13.9,5.7,21.0,16.7,48.1,26.5,1.6,22.51,24.26,20.86,27.3,2.44,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
77,688435,英方软件,破底翻,破底翻,29.59,0.44,27.11,25.33,6.6,9.1,24.0,25.9,54.9,23.7,1.89,29.61,30.83,26.3,39.91,3.14,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
78,300075,数字政通,破底翻,破底翻,10.77,-2.09,10.75,10.01,6.9,0.2,25.0,15.5,57.3,4.2,1.55,10.83,11.12,10.38,12.75,5.08,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
79,300873,海晨股份,破底翻,破底翻,15.8,-4.93,15.23,13.73,9.8,3.7,19.0,53.2,53.2,16.0,1.31,15.41,16.11,14.5,33.77,13.82,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
80,605398,新炬网络,破底翻,破底翻,20.74,1.97,19.09,18.11,5.1,8.6,25.0,21.0,61.9,28.9,1.72,20.33,20.69,18.52,26.26,2.49,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
81,002992,宝明科技,破底翻,破底翻,33.86,-2.62,32.27,31.09,3.7,4.9,21.0,33.6,58.6,1.5,1.63,34.14,34.95,31.3,50.96,6.68,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
82,688583,思看科技,破底翻,破底翻,89.4,7.52,80.3,64.77,19.3,11.3,12.0,38.9,48.3,21.9,1.72,84.53,82.01,77.89,146.3,4.94,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
83,001299,美能能源,破底翻,破底翻,9.78,3.16,9.7,9.08,6.4,0.8,25.0,25.9,48.8,2.3,1.97,9.86,9.91,9.41,13.19,9.22,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
84,688369,致远互联,破底翻,破底翻,19.94,1.01,18.5,15.75,14.9,7.8,22.0,20.7,53.5,26.8,1.9,19.75,20.94,17.94,25.16,2.61,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
85,300634,彩讯股份,破底翻,破底翻,19.55,1.82,18.94,17.45,7.9,3.2,21.0,20.6,46.4,28.9,1.96,19.15,20.2,18.37,24.63,4.31,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
86,000032,深桑达Ａ,破底翻,破底翻,14.52,-2.02,13.87,12.31,11.2,4.7,19.0,46.6,56.8,11.0,1.06,14.47,14.61,13.45,27.19,11.84,75.0,破底翻,1,75.0,4919,4583,False,,,,,,,,,
87,603669,灵康药业,碗口反弹,,5.49,,,,,,,,42.5,,,,,5.13,8.4,8.08,74.1,碗口反弹,1,74.1,4919,4583,False,靠近多空线,11.4,5.83,5.6,4.06,7.05,27.0,14.9,1.43
88,688589,力合微,破底翻,破底翻,19.37,-0.72,18.21,16.25,10.8,6.4,19.0,22.1,44.8,6.6,0.49,19.46,18.67,17.66,24.88,3.22,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
89,002096,易普力,破底翻,守住前低,9.72,3.4,8.7,,,11.7,54.0,21.9,43.0,8.7,3.57,9.41,9.45,8.44,12.45,2.13,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
90,300552,万集科技,破底翻,破底翻,21.24,0.43,20.45,18.4,10.0,3.9,23.0,28.0,55.6,7.9,0.79,20.86,21.59,19.84,29.5,5.9,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
91,301051,信濠光电,破底翻,破底翻,17.82,2.47,15.18,12.28,19.1,17.4,18.0,26.9,66.6,6.8,0.97,17.72,18.8,14.72,24.39,2.12,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
92,002453,华软科技,破底翻,破底翻,4.56,0.66,4.32,3.73,13.7,5.6,20.0,20.8,53.3,17.7,0.97,4.48,4.41,4.19,5.76,3.24,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
93,301152,天力锂能,破底翻,破底翻,22.13,-2.38,21.12,18.26,13.5,4.8,5.0,19.5,52.4,9.5,0.58,23.06,20.6,20.49,27.5,3.27,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
94,688303,大全能源,破底翻,破底翻,17.45,-0.11,16.92,15.54,8.2,3.1,30.0,24.3,54.6,3.2,0.72,17.55,18.37,16.41,23.06,5.39,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
95,300424,航新科技,破底翻,破底翻,13.18,-5.92,13.05,12.26,6.1,1.0,27.0,35.2,45.0,22.6,2.71,13.95,14.23,12.58,20.34,11.93,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
96,688556,高测股份,破底翻,守住前低,7.9,-4.13,7.38,,,7.0,28.0,43.3,76.4,2.9,1.6,8.08,8.42,7.16,13.93,8.15,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
97,002036,联创电子,破底翻,破底翻,6.78,-0.29,6.37,5.95,6.6,6.4,25.0,36.6,55.2,11.6,0.7,6.74,6.98,6.18,10.69,6.52,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
98,688247,宣泰医药,碗口反弹,,9.49,,,,,,,,32.2,,,,,8.93,11.33,3.29,74.0,碗口反弹,1,74.0,4919,4583,False,回落碗中,9.2,9.64,9.21,4.67,2.65,15.0,16.2,1.1
99,300910,瑞丰新材,破底翻,破底翻,28.76,4.28,27.0,25.15,6.9,6.5,3.0,18.4,57.8,5.2,1.31,26.85,27.87,26.19,35.26,2.53,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
100,300921,南凌科技,破底翻,破底翻,15.66,-0.51,14.31,12.92,9.7,9.4,20.0,32.3,57.7,5.8,0.78,15.4,15.37,13.88,23.13,4.2,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
101,603636,南威软件,破底翻,破底翻,6.96,0.58,6.47,6.0,7.3,7.6,23.0,29.8,65.1,3.2,1.25,6.91,7.13,6.28,9.91,4.34,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
102,600733,北汽蓝谷,破底翻,破底翻,5.14,0.59,4.76,4.51,5.3,8.0,33.0,18.5,51.6,6.0,0.76,5.05,5.35,4.62,6.31,2.25,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
103,002356,鹏飞绿能,破底翻,破底翻,2.86,2.14,2.7,2.48,8.1,5.9,20.0,15.1,41.6,12.3,1.07,2.8,2.74,2.62,3.37,2.13,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
104,301325,曼恩斯特,破底翻,破底翻,30.56,-0.46,29.01,27.13,6.5,5.3,25.0,31.8,64.3,3.5,0.95,30.62,31.04,28.14,44.84,5.9,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
105,605365,立达信,破底翻,破底翻,14.51,1.75,13.56,12.22,9.9,7.0,21.0,16.1,56.6,18.2,1.27,14.32,13.96,13.15,17.3,2.05,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
